nombre producto,precio,link,categoria,fecha
LABYRINTH LOOP JACK,$119.990,https://www.columbiachile.cl/parka-mujer-labyrinth-loop-jack-columbia-1960631/p?property__Color=%28466%29%20DARK%20NOCTURNAL,mujer,2022-07-25
LABYRINTH LOOP JACK,$169.990,https://www.columbiachile.cl/parka-mujer-labyrinth-loop-jack-columbia-1960631/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
Labyrinth Loop,$179.990,https://www.columbiachile.cl/parka-mujer-labyrinth-loop-columbia-1955321/p?property__Color=%28473%29%20DARK%20NOCTURNAL,mujer,2022-07-25
Labyrinth Loop,$179.990,https://www.columbiachile.cl/parka-mujer-labyrinth-loop-columbia-1955321/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
MOUNT BINDO II,$259.990,https://www.columbiachile.cl/parka-mujer-mount-bindo-ii-columbia-1954041/p?property__Color=%28472%29%20DARK%20NOCTURNAL,mujer,2022-07-25
MOUNT BINDO II,$259.990,https://www.columbiachile.cl/parka-mujer-mount-bindo-ii-columbia-1954041/p?property__Color=%28671%29%20MALBEC,mujer,2022-07-25
Pantalón Snow RIVal™,$134.990,https://www.columbiachile.cl/clb-pantalon-mujer-snow-rival-pant-1802351/p?property__Color=%28580%29%20TWILIGHT,mujer,2022-07-25
W Sweater Weather Ho,$89.990,https://www.columbiachile.cl/polar-mujer-w-sweater-weather-ho-columbia-1958921/p?property__Color=%28472%29%20DARK%20NOCTURNAL,mujer,2022-07-25
W Sweater Weather Ho,$69.990,https://www.columbiachile.cl/polar-mujer-w-sweater-weather-ho-columbia-1958921/p?property__Color=%28191%29%20CHALK%20BLANKET,mujer,2022-07-25
Guante Bugaboo™ Women'S Interchange,$39.990,https://www.columbiachile.cl/clb-guante-mujer-bugaboo-interchange-1860131/p?property__Color=%28522%29%20BLACK%20CHERRY,mujer,2022-07-25
LOST LAGER II,$14.990,https://www.columbiachile.cl/gorro-otros-lost-lager-ii-columbia-1975921/p?property__Color=%28397%29%20STONE%20GREEN,mujer,2022-07-25
LOST LAGER II,$14.990,https://www.columbiachile.cl/gorro-otros-lost-lager-ii-columbia-1975921/p?property__Color=%28708%29%20CANYON%20GOLD,mujer,2022-07-25
Pantalón Midweight Stretch Tight,$49.990,https://www.columbiachile.cl/clb-pantalon-mujer-midweight-stretch-al8127/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
Bugaboo Ii Fleece Jk,$219.990,https://www.columbiachile.cl/parka-mujer-bugaboo-ii-fleece-jk-columbia-1799241/p?property__Color=%28397%29%20STONE%20GREEN,mujer,2022-07-25
West Bend Full Zip,$54.990,https://www.columbiachile.cl/polar-mujer-west-bend-full-zip-columbia-1939901/p?property__Color=%28191%29%20CHALK,mujer,2022-07-25
West Bend Full Zip,$54.990,https://www.columbiachile.cl/polar-mujer-west-bend-full-zip-columbia-1939901/p?property__Color=%28466%29%20NOCTURNAL,mujer,2022-07-25
JOY PEAK JACKET,$149.990,https://www.columbiachile.cl/parka-mujer-joy-peak-jacket-columbia-1982681/p?property__Color=%28472%29%20DARK%20NOCTURNAL,mujer,2022-07-25
JOY PEAK JACKET,$149.990,https://www.columbiachile.cl/parka-mujer-joy-peak-jacket-columbia-1982681/p?property__Color=%28191%29%20CHALK,mujer,2022-07-25
Sweater Weather Zip,$69.990,https://www.columbiachile.cl/polar-mujer-sweater-weather-zip-columbia-1958941/p?property__Color=%28031%29%20CIRRUS%20GREY,mujer,2022-07-25
Sweater Weather Zip,$54.990,https://www.columbiachile.cl/polar-mujer-sweater-weather-zip-columbia-1958941/p?property__Color=%28191%29%20CHALK,mujer,2022-07-25
W Park View Grid Fleece 1/2 Zip,$59.990,https://www.columbiachile.cl/otros-mujer-park-view-grid-flee-columbia-1959701/p?property__Color=%28010%29%20BLACK,mujer,2022-07-25
W Park View Grid Fleece 1/2 Zip,$59.990,https://www.columbiachile.cl/otros-mujer-park-view-grid-flee-columbia-1959701/p?property__Color=%28575%29%20PLUM,mujer,2022-07-25
Parka Powder Lite Mid,$109.990,https://www.columbiachile.cl/clb-parka-mujer-powder-lite-mid-jkt-1748311/p?property__Color=%28671%29%20MALBEC,mujer,2022-07-25
