nombre producto,precio,link,categoria,fecha
Chaqueta Teen Girl Blizzard B-Dry Hoody Jacket Mostaza Lippi,CLP 62.990,https://www.lippioutdoor.com/chaqueta-teen-girl-blizzard-b-dry-hoody-jacket-mostaza-lippi-m22.html,niño,2022-07-25
Chaqueta Teen Boy Blizzard B-Dry Hoody Jacket Verde Musgo / Azul Marino Lippi,CLP 62.990,https://www.lippioutdoor.com/chaqueta-teen-boy-blizzard-b-dry-hoody-jacket-verde-musgo-azul-marino-lippi-m22.html,niño,2022-07-25
Chaquetas Niño All Winter Steam-Pro Hoody Jacket Verde Grisaceo Lippi,CLP 44.990,https://www.lippioutdoor.com/chaquetas-nino-all-winter-steam-pro-hoody-jacket-verde-grisaceo-lippi-m22.html,niño,2022-07-25
Chaquetas Niño Snowball Fusion-3 Hoody Jacket Café Pardo Lippi,CLP 84.990,https://www.lippioutdoor.com/chaquetas-nino-snowball-fusion-3-hoody-jacket-cafe-pardo-lippi-m22.html,niño,2022-07-25
Chaquetas Niño Roble B-Dry Hoody Jacket Terracota Lippi,CLP 72.990,https://www.lippioutdoor.com/chaquetas-nino-roble-b-dry-hoody-jacket-terracota-lippi-m22.html,niño,2022-07-25
Calzas Teen Girl In-Motion Seamless Leggings Vino Lippi,CLP 12.990,https://www.lippioutdoor.com/calzas-teen-girl-in-motion-seamless-leggings-vino-lippi-m22.html,niño,2022-07-25
Chaqueta Teen Boy Blizzard B-Dry Hoody Jacket Azul Oscuro Lippi,CLP 62.990,https://www.lippioutdoor.com/chaqueta-teen-boy-blizzard-b-dry-hoody-jacket-azul-oscuro-lippi-m22.html,niño,2022-07-25
Botin Niña Puelo Hi Velcro Gris Fucsia Lippi,CLP 39.990,https://www.lippioutdoor.com/botin-nina-puelo-hi-velcro-gris-fucsia-t15.html,niño,2022-07-25
Chaquetas Niño All Winter Steam-Pro Hoody Jacket Azul Lippi,CLP 44.990,https://www.lippioutdoor.com/chaquetas-nino-all-winter-steam-pro-hoody-jacket-azul-lippi-m22.html,niño,2022-07-25
Chaqueta Teen Boy Cold Place B-Dry Hoody Jacket Negro Lippi,CLP 72.990,https://www.lippioutdoor.com/chaqueta-teen-boy-cold-place-b-dry-hoody-jacket-negro-lippi-m22.html,niño,2022-07-25
